tconst,primary_title,original_title,start_year,runtime_minutes,averageRating,numVotes
tt2390250,Water,Water,2012,120,7.6,11
tt2395102,The Salesman,IBM and the Holocaust,NA,\N,NA,NA
tt2401079,The Promised Land,The Promised Land,2012,77,NA,NA
tt2402623,Beyond the Walls,Hors les murs,2012,98,6.6,1293
tt2429086,Hero,Hero,2012,163,3.7,205
tt2430956,No,No,2012,74,8.6,5
tt2434540,Missing,Yukue fumei,2012,72,NA,NA
tt2486682,The Square,Al midan,2013,108,8.1,8262
tt2488406,No Man's Land,No Man's Land,NA,\N,NA,NA
tt2526066,Beyond Silence,Beyond Silence,2012,39,NA,NA
tt2547366,Carmen,Carmen,2013,89,6.9,43
tt2597828,The Eel,The Eel,NA,\N,NA,NA
tt2640570,The Hunt,The Hunt,2012,74,4.4,119
tt2650314,Journey of Hope,Journey of Hope,NA,\N,NA,NA
tt2652174,Iphigenia,Iphigenia,2011,59,NA,NA
tt2667960,Miss Julie,Miss Julie,2014,129,5.4,4817
tt2718492,Ida,Ida,2013,82,7.4,49414
tt2719830,Cyrano de Bergerac,Cyrano de Bergerac,2012,146,NA,NA
tt2758880,Winter Sleep,Kis Uykusu,2014,196,8.2,40271
tt2769814,Torment,Torment,1990,86,5.1,16
tt2783108,The Turning Point,The Turning Point,2013,62,5.8,6
tt2795366,Private Life,Private Life,1983,\N,NA,NA
tt2802154,Leviathan,Leviafan,2014,140,7.6,45709
tt2828140,Torment,Torment,2014,91,6,31
tt2833746,Corpus Christi,Corpus Christi,2013,\N,2.8,5
tt2900822,Torment,Torment,2013,82,4.7,2564
tt2963918,Leviathan,Leviathan,2012,72,8.5,6
tt3011894,Wild Tales,Relatos salvajes,2014,122,8.1,160700
tt3060244,Three Brothers,Tri bratri,2014,90,5.7,326
tt3060600,Elle,Elle,2013,57,7.1,9
tt3098406,No Man's Land,No Man's Land,NA,\N,NA,NA
tt3101724,Crossfire,Crossfire,2012,92,NA,NA
tt3108154,The Hunt,The Hunt,2016,100,4.4,43
tt3109648,First Love,First Love,2013,\N,7.5,18
tt3158716,The Ninth Circle,The Ninth Circle,NA,\N,NA,NA
tt3170902,Theeb,Theeb,2014,100,7.2,9427
tt3212670,Private Life,Private Life,2012,90,5.7,372
tt3235566,The Last Chance,The Last Chance,2011,91,NA,NA
tt3286436,A Man and a Woman,A Man and a Woman,NA,\N,NA,NA
tt3297204,The Damned,Repentance,NA,\N,NA,NA
tt3299370,No Man's Land,No Man's Land,NA,\N,NA,NA
tt3317918,Harry and the Butler,Harry and the Butler,NA,\N,NA,NA
tt3529894,Twin Sisters,Tvillingsøstrene,2013,58,7.7,242
tt3643154,First Love,First Love,1961,\N,NA,NA
tt3716530,Elle,Elle,2016,130,7.1,57453
tt3723646,Scarecrow,Scarecrow,2014,\N,NA,NA
tt3731148,The Mission,The Mission,2015,93,NA,NA
tt3753108,The Square,A tér,2013,52,7,6
tt3754474,If,If,NA,100,NA,NA
tt3757774,Turkish Delight,Turkish Delight,2017,\N,NA,NA
tt3758854,The Mission,The Mission,NA,\N,NA,NA
tt3797834,Missing,Missing,NA,\N,NA,NA
tt3808342,Son of Saul,Saul fia,2015,107,7.5,41740
tt3829360,Leviathan,Leviathan,NA,\N,NA,NA
tt3830162,A War,Krigen,2015,115,7.1,9123
tt3966404,Mustang,Mustang,2015,97,7.6,32748
tt3972110,The Assault,The Assault,2017,90,3.7,100
tt4080728,A Man Called Ove,En man som heter Ove,2015,116,7.7,42393
tt4155318,The Family,The Family,2013,152,7.4,16
tt4285496,Embrace of the Serpent,El abrazo de la serpiente,2015,125,7.9,18761
tt4337846,Pathfinder,Pathfinder,NA,\N,NA,NA
tt4375304,Carmen,Carmen,2013,126,NA,NA
tt4444038,Diva,Diva,NA,\N,NA,NA
tt4467202,Hero,Hero,2015,145,3.6,2066
tt4533608,Three,Three,NA,\N,NA,NA
tt4544116,The Sweet Life,The Sweet Life,NA,\N,NA,NA
tt4667146,Missing,Missing,2011,\N,NA,NA
tt4668042,La Traviata,La Traviata,1974,70,NA,NA
tt4735860,If,If,NA,\N,NA,NA
tt4760998,Hero,Hero,2006,110,7,70
tt4838534,The Sweet Life,The Sweet Life,2016,90,6.2,1493
tt4852906,Elle,Elle,NA,\N,NA,NA
tt4882426,The Leopard,The Leopard,NA,\N,NA,NA
tt4925340,The Nest,The Nest (Il nido),2019,107,5.9,525
tt4940612,The Promised Land,Hui dao bei ai de mei yi tian,2015,102,6.6,24
tt4995790,The Square,The Square,2017,151,7.2,48804
tt5041574,Three,Three,NA,\N,NA,NA
tt5116988,Under the Sun,Under the Sun,NA,\N,NA,NA
tt5144142,Crossfire,Crossfire,NA,\N,NA,NA
tt5155360,First Love,First Love,2019,80,7,11
tt5156896,Le Grand Voyage,Le Grand Voyage,2015,98,NA,NA
tt5161028,The Family,Druzina,2017,106,7.7,134
tt5164184,In Darkness,In Darkness,2018,100,5.8,10956
tt5186714,The Salesman,Forushande,2016,124,7.8,45250
tt5245974,Under the Sun,Under the Sun,2015,78,7.6,9
tt5305130,Parasite,Parasite,NA,\N,NA,NA
tt5369468,Missing,Missing,NA,\N,NA,NA
tt5480544,The Mission,The Mission,2016,91,6.3,17
tt5536610,Private Life,Private Life,2018,123,7.2,12622
tt5537300,Cold War,Cold War,2017,96,6.7,69
tt5581616,Under the Sun,Under the Sun,2016,95,NA,NA
